treat,age,edu,black,hispanic,married,nodegree,re75,re78,sample
1,42,14,1,0,1,0,0,13167.52,nsw
1,22,11,0,0,0,1,0,1048.432,nsw
1,17,8,1,0,0,1,0,0,nsw
1,29,8,1,0,0,1,0,1923.938,nsw
1,28,10,1,0,0,1,2836.506,3196.571,nsw
1,35,10,1,0,0,1,0,4666.236,nsw
1,27,11,1,0,0,1,0,549.2984,nsw
1,29,4,1,0,0,1,0,762.9146,nsw
1,28,9,1,0,0,1,0,10694.29,nsw
1,27,11,1,0,0,1,0,0,nsw
1,23,7,0,0,0,1,0,0,nsw
1,45,5,1,0,1,1,0,8546.715,nsw
1,29,13,1,0,0,0,0,7479.656,nsw
1,27,9,1,0,0,1,0,0,nsw
1,46,13,1,0,0,0,0,647.2046,nsw
1,18,6,1,0,0,1,0,0,nsw
1,25,12,1,0,0,0,0,11965.81,nsw
1,28,15,1,0,0,0,0,9598.541,nsw
1,31,9,1,0,0,1,1698.607,10363.27,nsw
1,25,11,0,0,0,1,0,18783.35,nsw
1,22,12,1,0,0,0,0,18678.08,nsw
1,28,11,1,0,0,1,1284.079,60307.93,nsw
1,21,9,1,0,0,1,0,0,nsw
1,40,11,1,0,0,1,0,23005.6,nsw
1,22,11,1,0,0,1,0,6456.697,nsw
1,25,12,1,0,0,0,0,0,nsw
1,27,9,1,0,1,1,934.4454,1773.423,nsw
1,23,10,1,0,1,1,936.4386,11233.26,nsw
1,29,10,1,0,0,1,4398.95,0,nsw
1,18,12,1,0,0,0,0,2321.107,nsw
1,38,12,0,0,0,0,0,4941.849,nsw
1,27,13,1,0,0,0,0,0,nsw
1,27,8,1,0,0,1,0,0,nsw
1,38,11,1,0,0,1,0,0,nsw
1,23,8,0,1,0,1,0,3881.284,nsw
1,26,11,1,0,0,1,0,17230.96,nsw
1,42,9,1,0,1,1,3058.531,1294.409,nsw
1,21,12,0,0,0,0,0,8048.603,nsw
1,25,8,1,0,0,1,0,0,nsw
1,31,11,1,0,1,1,0,14509.93,nsw
1,17,10,1,0,0,1,0,0,nsw
1,19,8,1,0,0,1,2657.057,9970.681,nsw
1,29,14,1,0,0,0,679.6734,17814.98,nsw
1,25,11,1,0,0,1,0,0,nsw
1,21,12,1,0,0,0,0,9983.784,nsw
1,44,11,1,0,0,1,0,0,nsw
1,19,10,1,0,0,1,385.2741,8124.715,nsw
1,25,12,0,0,0,0,0,5587.503,nsw
1,18,10,1,0,0,1,798.9079,9737.154,nsw
1,18,9,1,0,0,1,0,4482.845,nsw
1,19,9,1,0,0,1,798.9079,17685.18,nsw
1,18,9,1,0,0,1,3287.375,5010.342,nsw
1,26,11,1,0,1,1,1392.853,1460.36,nsw
1,42,12,1,0,0,0,0,2456.153,nsw
1,25,10,1,0,0,1,0,0,nsw
1,31,9,0,1,0,1,0,26817.6,nsw
1,24,10,1,0,0,1,0,0,nsw
1,26,10,1,0,0,1,0,9265.788,nsw
1,20,12,1,0,0,0,377.5686,1652.637,nsw
1,19,10,0,0,0,1,5324.109,13829.62,nsw
1,25,11,1,0,0,1,0,485.2298,nsw
1,23,8,0,0,1,1,1713.15,4232.309,nsw
1,31,12,0,0,0,0,2611.218,2484.549,nsw
1,18,11,1,0,0,1,0,4814.627,nsw
1,19,11,1,0,0,1,0,7458.105,nsw
1,43,9,1,0,0,1,0,0,nsw
1,27,13,1,0,0,0,0,34099.28,nsw
1,26,11,0,0,0,1,2226.266,13385.86,nsw
1,29,10,0,1,0,1,8853.674,5112.014,nsw
1,17,9,1,0,0,1,0,1953.268,nsw
1,30,11,1,0,0,1,0,0,nsw
1,17,10,1,0,0,1,156.9491,10641.24,nsw
1,20,12,0,0,1,0,8644.156,11656.51,nsw
1,17,9,1,0,0,1,375.1047,3621.707,nsw
1,18,12,1,0,0,0,562.657,0,nsw
1,21,11,0,1,0,1,1395.39,0,nsw
1,30,11,1,0,0,1,1913.034,0,nsw
1,18,11,0,1,0,1,5491.535,2454.5,nsw
1,20,12,1,0,0,0,9227.559,0,nsw
1,20,6,0,1,1,1,10802.98,4488.495,nsw
1,20,10,1,0,0,1,11073.09,0,nsw
1,25,8,1,0,0,1,37431.66,2346.828,nsw
1,17,9,0,0,0,1,1618.15,6011.021,nsw
1,18,10,0,1,0,1,2589.042,0,nsw
1,19,9,0,1,0,1,6511.124,7913.386,nsw
1,19,11,1,0,0,1,192.7995,661.1924,nsw
1,27,10,0,1,0,1,421.3024,3075.862,nsw
1,18,12,0,1,0,0,535.5533,1115.86,nsw
1,22,11,1,0,0,1,606.9609,317.8952,nsw
1,20,9,1,0,0,1,660.5159,12229.63,nsw
1,20,11,1,0,0,1,696.2192,0,nsw
1,18,10,1,0,0,1,699.7896,480.527,nsw
1,17,10,1,0,0,1,856.8864,3251.1,nsw
1,26,12,1,0,0,0,1088.907,11460.56,nsw
1,22,10,1,0,0,1,1071.108,7315.452,nsw
1,20,12,1,0,0,0,1160.366,702.1839,nsw
1,18,8,1,0,0,1,1199.641,0,nsw
1,18,9,1,0,0,1,1285.33,15369.48,nsw
1,18,10,1,0,0,1,1371.017,12064.41,nsw
1,19,10,1,0,0,1,1374.587,13278.97,nsw
1,18,9,0,1,0,1,1713.773,8836.566,nsw
1,17,10,0,1,0,1,2202.796,4387.057,nsw
1,19,11,1,0,0,1,1927.995,11965.81,nsw
1,27,11,1,0,1,1,2142.217,2186.189,nsw
1,19,10,1,0,0,1,3213.113,2975.031,nsw
1,19,9,0,1,0,1,3276.15,14271.23,nsw
1,27,10,1,0,0,1,3213.322,2094.119,nsw
1,21,11,1,0,1,1,4167.998,11300.24,nsw
1,29,10,1,0,1,1,4923.263,130.6791,nsw
1,34,11,0,1,0,1,4641.467,2877.682,nsw
1,25,10,0,0,0,1,4712.874,6103.746,nsw
1,31,13,0,0,0,0,5498.35,2329.867,nsw
1,41,9,1,0,1,1,5783.981,0,nsw
1,21,11,0,1,0,1,6658.562,9381.295,nsw
1,20,11,1,0,0,1,6426.646,16451.46,nsw
1,24,12,0,1,1,0,7212.11,6485.508,nsw
1,41,9,1,0,1,1,7212.12,3154.72,nsw
1,21,12,0,0,0,0,7390.634,3557.934,nsw
1,22,11,1,0,0,1,7497.752,668.7466,nsw
1,20,9,0,1,0,1,8015.442,5487.97,nsw
1,17,11,1,0,0,1,8497.436,9017.004,nsw
1,24,11,1,0,0,1,9180.92,0,nsw
1,23,12,1,0,1,0,15079.95,10283.49,nsw
1,23,10,1,0,0,1,15709.56,5665.066,nsw
1,26,11,0,0,0,1,22959.76,2746.614,nsw
1,21,13,1,0,0,0,24806.83,8803.666,nsw
1,18,10,1,0,1,1,1958.096,10989.93,nsw
1,22,10,1,0,0,1,653.9542,11134.98,nsw
1,17,10,1,0,0,1,1000.55,1433.531,nsw
1,20,7,1,0,0,1,1569.49,5518.083,nsw
1,17,9,1,0,0,1,1667.583,5594.729,nsw
1,23,11,1,0,0,1,1961.864,3689.126,nsw
1,32,10,1,0,0,1,2321.537,179.0217,nsw
1,19,12,1,0,0,0,2534.072,4551.979,nsw
1,30,10,1,0,0,1,2615.817,0,nsw
1,25,12,1,0,0,0,2746.608,2090.678,nsw
1,26,11,0,0,0,1,4676.457,1973.345,nsw
1,19,10,1,0,0,1,3473.808,5861.603,nsw
1,19,8,0,0,0,1,3416.907,9251.357,nsw
1,20,10,1,0,0,1,5100.839,13626.04,nsw
1,21,11,1,0,0,1,5310.107,7906.341,nsw
1,23,12,1,0,0,0,7841.972,7947.257,nsw
1,19,11,1,0,0,1,6409.027,11648.7,nsw
1,22,11,1,0,0,1,8774.791,18295.82,nsw
1,23,12,1,0,0,0,7782.042,14416.84,nsw
1,26,10,1,0,1,1,8141.703,4635.66,nsw
1,24,12,1,0,0,0,12982.34,0,nsw
1,18,10,0,1,0,1,12625.51,0,nsw
1,27,11,1,0,0,1,14223.5,7661.973,nsw
1,21,11,0,1,0,1,17983.71,15191.91,nsw
1,25,8,0,0,0,1,23096.65,6421.53,nsw
1,21,12,1,0,0,0,807.9511,4350.907,nsw
1,19,11,1,0,0,1,532.2536,0,nsw
1,18,11,1,0,0,1,851.6061,0,nsw
1,34,7,1,0,0,1,857.5195,0,nsw
1,21,11,0,0,0,1,946.2279,11412.24,nsw
1,25,9,1,0,0,1,1536.503,1709.342,nsw
1,17,9,1,0,0,1,1341.651,1374.066,nsw
1,28,8,1,0,0,1,1182.786,7779.263,nsw
1,18,9,1,0,0,1,1182.786,5100.469,nsw
1,27,12,1,0,0,0,4310.455,0,nsw
1,23,9,1,0,0,1,1774.18,11464.71,nsw
1,19,8,0,1,0,1,1862.889,8774.623,nsw
1,21,11,1,0,0,1,2158.585,0,nsw
1,21,11,1,0,0,1,2217.724,4082.37,nsw
1,23,10,1,0,0,1,2217.724,0,nsw
1,27,9,1,0,0,1,2294.605,2018.556,nsw
1,27,11,1,0,0,1,2483.852,0,nsw
1,23,12,0,0,0,0,3903.195,796.5597,nsw
1,27,8,1,0,0,1,7218.277,7976.932,nsw
1,28,11,1,0,1,1,6952.58,7318.186,nsw
1,25,12,1,0,0,0,5204.259,0,nsw
1,20,12,1,0,0,0,6085.421,9750.66,nsw
1,26,12,1,0,0,0,6608.803,5811.765,nsw
1,23,10,1,0,1,1,10495.08,3385.811,nsw
1,49,8,0,0,1,1,7285.948,16717.12,nsw
1,19,11,1,0,0,1,10224.37,11293.81,nsw
1,21,13,0,0,0,0,8616.852,99.57002,nsw
1,27,12,1,0,1,0,7806.387,2777.585,nsw
1,23,11,1,0,0,1,8959.589,1659.5,nsw
1,22,11,1,0,0,1,12170.94,8408.393,nsw
1,24,15,1,0,0,0,13008.5,14683.63,nsw
1,24,12,1,0,0,0,18154.06,0,nsw
1,18,11,1,0,0,1,214.5636,929.8839,nsw
1,17,10,1,0,0,1,5793.852,5522.788,nsw
1,17,9,1,0,0,1,1253.439,5445.2,nsw
1,28,11,1,0,0,1,6871.856,0,nsw
1,27,11,1,0,0,1,2666.274,0,nsw
1,19,11,1,0,0,1,2615.276,4146.603,nsw
1,18,11,0,0,0,1,919.5579,4321.705,nsw
1,24,10,1,0,0,1,2421.947,1660.508,nsw
1,23,12,1,0,0,0,3039.96,8484.239,nsw
1,21,9,1,0,0,1,5749.331,743.6666,nsw
1,21,12,1,0,0,0,3332.409,9371.037,nsw
1,24,9,1,0,0,1,2288.675,4849.559,nsw
1,20,9,0,1,0,1,5875.049,1358.643,nsw
1,25,13,1,0,0,0,3090.732,0,nsw
1,35,8,1,0,1,1,17976.15,3786.628,nsw
1,17,9,0,1,0,1,74.34345,6210.67,nsw
1,24,11,1,0,1,1,1666.113,4032.708,nsw
1,20,12,1,0,0,0,165.2077,0,nsw
1,21,8,1,0,0,1,3695.897,4279.613,nsw
1,18,10,1,0,0,1,1784.274,11141.39,nsw
1,27,12,1,0,0,0,357.9499,22163.25,nsw
1,22,9,1,0,0,1,3836.986,3462.564,nsw
1,46,8,1,0,0,1,2594.723,0,nsw
1,19,10,1,0,0,1,6056.754,0,nsw
1,19,11,0,1,1,1,5463.803,6788.463,nsw
1,22,12,1,0,0,0,936.1773,0,nsw
1,22,12,0,0,0,0,8455.504,12590.71,nsw
1,26,12,1,0,1,0,5794.831,1424.944,nsw
1,29,12,1,0,0,0,4878.937,10976.51,nsw
1,31,9,1,0,0,1,5517.841,9558.501,nsw
1,29,12,1,0,0,0,1817.284,0,nsw
1,35,9,1,0,1,1,13830.64,12803.97,nsw
1,25,12,1,0,0,0,2409.274,0,nsw
1,22,12,0,1,1,0,7055.702,10092.83,nsw
1,27,10,1,0,0,1,3550.075,0,nsw
1,22,10,1,0,1,1,5588.664,13228.28,nsw
1,19,8,1,0,0,1,2937.264,7535.942,nsw
1,20,11,1,0,0,1,1220.836,1085.44,nsw
1,21,12,0,0,0,0,334.0494,12558.02,nsw
1,27,12,1,0,1,0,334.0493,0,nsw
1,20,10,1,0,0,1,2777.355,5615.189,nsw
1,23,12,1,0,0,0,501.0741,671.3318,nsw
1,27,13,0,0,1,0,853.7225,0,nsw
1,23,12,0,1,0,0,1117.439,559.4432,nsw
1,24,12,1,0,0,0,2842.764,6167.681,nsw
1,20,11,1,0,0,1,1484.994,6943.342,nsw
1,26,10,1,0,0,1,6788.958,672.8773,nsw
1,25,14,1,0,1,0,11536.57,36646.95,nsw
1,26,10,1,0,1,1,0,0,nsw
1,20,9,1,0,0,1,0,8881.665,nsw
1,31,4,1,0,0,1,4023.211,7382.549,nsw
1,24,10,1,0,1,1,4078.152,0,nsw
1,33,11,1,0,1,1,25142.24,4181.942,nsw
1,33,12,1,0,1,0,10941.35,15952.6,nsw
0,23,10,1,0,0,1,0,0,nsw
0,26,12,0,0,0,0,0,12383.68,nsw
0,22,9,1,0,0,1,0,0,nsw
0,34,9,1,0,0,1,4368.413,14051.16,nsw
0,18,9,1,0,0,1,0,10740.08,nsw
0,45,11,1,0,0,1,0,11796.47,nsw
0,18,9,1,0,0,1,0,9227.052,nsw
0,27,12,1,0,0,0,2483.851,3552.268,nsw
0,24,8,0,0,0,1,0,10569.27,nsw
0,34,11,1,0,1,1,0,6040.335,nsw
0,20,13,1,0,0,0,8965.243,9199.563,nsw
0,24,4,0,1,0,1,0,3880.833,nsw
0,28,12,0,0,0,0,803.343,16477.02,nsw
0,21,10,1,0,0,1,922.5729,0,nsw
0,28,12,1,0,1,0,29009.11,10067.43,nsw
0,20,12,1,0,0,0,6004.728,4779.72,nsw
0,23,8,1,0,0,1,3403.056,0,nsw
0,21,11,1,0,1,1,7244.561,8976.826,nsw
0,36,10,1,0,0,1,0,0,nsw
0,18,12,0,0,0,0,735.2051,2502.526,nsw
0,21,14,1,0,0,0,0,5775.062,nsw
0,30,13,1,0,0,0,5569.761,0,nsw
0,26,11,0,1,0,1,1491.016,0,nsw
0,28,9,1,0,0,1,0,0,nsw
0,31,4,0,0,0,1,10711.08,0,nsw
0,18,12,1,0,0,0,642.6645,14444.71,nsw
0,27,7,1,0,1,1,0,0,nsw
0,19,11,0,0,0,1,0,0,nsw
0,20,8,1,0,0,1,0,0,nsw
0,28,8,1,0,0,1,10610.08,4623.188,nsw
0,34,12,1,0,0,0,0,2113.722,nsw
0,24,10,1,0,0,1,0,7618.639,nsw
0,24,9,1,0,0,1,0,16461.57,nsw
0,22,8,0,1,0,1,0,9920.945,nsw
0,25,11,1,0,0,1,0,4196.375,nsw
0,20,11,0,0,0,1,1177.118,8743.071,nsw
0,21,9,1,0,0,1,0,3343.224,nsw
0,19,12,1,0,0,0,2814.195,1720.907,nsw
0,39,9,1,0,0,1,0,0,nsw
0,19,9,1,0,1,1,0,16658.25,nsw
0,24,10,1,0,0,1,1307.908,0,nsw
0,44,9,1,0,0,1,0,9722.003,nsw
0,23,11,1,0,0,1,1896.023,5573.547,nsw
0,22,12,1,0,0,0,532.2536,1333.445,nsw
0,27,8,1,0,0,1,0,3783.66,nsw
0,27,11,1,0,1,1,1122.621,215.8348,nsw
0,18,9,1,0,0,1,1605.448,0,nsw
0,25,8,1,0,0,1,0,3515.929,nsw
0,31,10,1,0,0,1,0,17014.59,nsw
0,28,10,1,0,0,1,6567.329,5435.787,nsw
0,26,10,1,0,1,1,558.7734,0,nsw
0,30,8,1,0,0,1,1706.657,0,nsw
0,28,11,0,1,1,1,0,6771.622,nsw
0,34,10,1,0,1,1,0,0,nsw
0,21,7,0,1,0,1,0,0,nsw
0,33,12,1,0,0,0,0,5970.257,nsw
0,19,9,1,0,0,1,1778.089,7171,nsw
0,20,11,1,0,0,1,7967.209,0,nsw
0,18,10,0,1,0,1,0,1859.167,nsw
0,27,12,1,0,1,0,752.3901,0,nsw
0,26,12,1,0,1,0,0,6191.943,nsw
0,24,9,1,0,0,1,9662.67,0,nsw
0,31,12,1,0,0,0,0,7284.394,nsw
0,22,12,1,0,0,0,2158.05,0,nsw
0,28,14,1,0,0,0,6539.537,3123.116,nsw
0,35,10,1,0,0,1,0,445.8309,nsw
0,20,12,1,0,0,0,0,0,nsw
0,30,9,0,0,0,1,3141.917,1320.923,nsw
0,25,11,1,0,0,1,0,0,nsw
0,25,10,1,0,0,1,0,7367.04,nsw
0,35,11,1,0,0,1,0,0,nsw
0,22,8,1,0,0,1,6150.52,0,nsw
0,21,12,1,0,0,0,449.0479,0,nsw
0,20,10,1,0,0,1,0,2015.503,nsw
0,21,8,1,0,0,1,2237.208,1764.108,nsw
0,25,9,0,1,0,1,0,15791.13,nsw
0,24,10,0,1,0,1,3000.838,5350.038,nsw
0,33,11,1,0,0,1,2899.82,18859.89,nsw
0,21,9,1,0,0,1,12357.22,0,nsw
0,27,11,1,0,1,1,4491.884,0,nsw
0,27,10,1,0,0,1,0,1135.47,nsw
0,20,11,0,1,0,1,0,6378.72,nsw
0,25,13,1,0,0,0,10240.36,10020.72,nsw
0,18,11,1,0,0,1,645.2723,5497.591,nsw
0,26,11,1,0,0,1,0,7176.187,nsw
0,38,8,1,0,0,1,0,0,nsw
0,21,11,1,0,1,1,7652.12,8396.654,nsw
0,34,11,1,0,0,1,8912.484,5611.866,nsw
0,21,10,1,0,0,1,1162.362,39483.53,nsw
0,31,13,1,0,0,0,10393.61,7404.762,nsw
0,34,10,1,0,0,1,0,7952.54,nsw
0,25,11,1,0,0,1,3649.769,0,nsw
0,24,9,1,0,0,1,1275.356,8644.427,nsw
0,19,12,1,0,0,0,0,0,nsw
0,32,8,1,0,0,1,0,7152.132,nsw
0,20,9,0,1,0,1,0,8329.823,nsw
0,23,10,1,0,0,1,0,0,nsw
0,38,10,1,0,0,1,0,12429.91,nsw
0,24,11,1,0,0,1,0,0,nsw
0,19,10,0,1,0,1,1197.462,11223.72,nsw
0,23,11,1,0,0,1,0,5088.76,nsw
0,20,7,0,1,0,1,0,4374.04,nsw
0,25,10,1,0,1,1,9319.444,0,nsw
0,21,11,1,0,0,1,0,1553.291,nsw
0,25,10,1,0,0,1,0,0,nsw
0,22,11,1,0,1,1,0,1698.304,nsw
0,29,9,0,1,0,1,16341.16,16900.3,nsw
0,21,11,1,0,0,1,1862.889,11630.66,nsw
0,21,7,1,0,0,1,0,11011.57,nsw
0,23,11,1,0,0,1,0,0,nsw
0,20,12,1,0,0,0,1371.473,20893.11,nsw
0,21,11,0,1,0,1,8920.471,20857.84,nsw
0,26,12,1,0,0,0,7322.037,4677.049,nsw
0,24,12,0,0,0,0,0,11294.63,nsw
0,43,10,1,0,0,1,4128.443,7565.273,nsw
0,31,11,1,0,0,1,1726.445,0,nsw
0,22,11,1,0,0,1,2707.372,100.6998,nsw
0,29,11,1,0,0,1,0,0,nsw
0,24,11,1,0,0,1,0,14626.39,nsw
0,22,9,1,0,0,1,0,12898.38,nsw
0,19,11,1,0,0,1,8870.879,7396.292,nsw
0,28,11,1,0,0,1,0,5767.133,nsw
0,18,10,0,1,0,1,0,6527.919,nsw
0,18,9,1,0,0,1,2138.094,5767.704,nsw
0,26,10,1,0,0,1,0,3931.238,nsw
0,25,10,1,0,0,1,0,20942.24,nsw
0,26,12,1,0,0,0,8479.593,10820.55,nsw
0,23,11,1,0,0,1,29897.19,23483.45,nsw
0,20,8,0,1,0,1,1124.801,11731.2,nsw
0,24,10,1,0,0,1,0,0,nsw
0,27,13,1,0,0,0,8797.348,1653.481,nsw
0,26,5,1,0,0,1,0,0,nsw
0,37,10,1,0,0,1,8606.743,0,nsw
0,36,10,1,0,0,1,0,14690.35,nsw
0,22,11,1,0,0,1,0,0,nsw
0,22,9,1,0,0,1,506.4076,604.1987,nsw
0,25,12,1,0,0,0,0,3418.097,nsw
0,22,10,1,0,0,1,1765.676,0,nsw
0,27,11,1,0,0,1,0,11197.34,nsw
0,29,8,1,0,0,1,0,0,nsw
0,18,9,1,0,0,1,2006.629,6546.01,nsw
0,24,12,1,0,0,0,0,0,nsw
0,27,9,0,1,0,1,1596.762,6723.414,nsw
0,19,9,1,0,0,1,902.4565,1914.414,nsw
0,22,10,1,0,0,1,0,0,nsw
0,29,12,1,0,0,0,1359.347,132.76,nsw
0,30,11,1,0,1,1,9311.938,3982.801,nsw
0,22,7,1,0,0,1,13503.77,11607.09,nsw
0,24,7,1,0,0,1,0,1455.69,nsw
0,29,14,1,0,0,0,3357.185,7226.049,nsw
0,29,12,1,0,0,0,0,1890.937,nsw
0,22,11,1,0,0,1,1321.66,2639.29,nsw
0,25,11,0,1,1,1,0,4485.616,nsw
0,30,12,1,0,0,0,0,13613.35,nsw
0,22,8,1,0,0,1,0,1390.509,nsw
0,55,3,1,0,0,1,0,5843.796,nsw
0,35,10,1,0,0,1,9902.763,9453.827,nsw
0,20,10,1,0,0,1,0,8598.522,nsw
0,29,9,1,0,0,1,1203.824,9378.653,nsw
0,20,11,1,0,0,1,3470.389,7896.707,nsw
0,27,9,1,0,0,1,2129.016,0,nsw
0,28,10,1,0,1,1,6449.48,16988.18,nsw
0,20,11,1,0,0,1,2531.311,0,nsw
0,26,14,1,0,1,0,2025.566,0,nsw
0,19,8,0,1,0,1,1087.803,2987.101,nsw
0,34,11,1,0,0,1,0,2920.199,nsw
0,22,12,1,0,0,0,0,0,nsw
0,32,12,0,1,1,0,0,6735.32,nsw
0,19,11,1,0,0,1,1868.021,0,nsw
0,31,10,1,0,0,1,0,0,nsw
0,18,9,1,0,0,1,0,0,nsw
0,28,10,1,0,0,1,4479.587,128.672,nsw
0,32,12,1,0,0,0,12419.18,10673.7,nsw
0,50,10,0,1,0,1,0,0,nsw
0,20,12,1,0,0,0,591.8151,4159.919,nsw
0,25,11,1,0,1,1,0,44.75546,nsw
0,23,10,1,0,1,1,0,0,nsw
0,21,14,1,0,0,0,5926.795,29408.04,nsw
0,38,10,1,0,0,1,0,0,nsw
0,25,7,0,1,0,1,1177.118,9722.349,nsw
0,25,10,1,0,1,1,0,3701.812,nsw
0,29,12,1,0,0,0,2080.209,16969.95,nsw
0,42,10,1,0,0,1,0,6930.336,nsw
0,39,12,1,0,1,0,0,3795.799,nsw
0,27,11,1,0,1,1,20035.26,9074.764,nsw
0,34,13,1,0,1,0,0,5193.247,nsw
0,25,11,1,0,1,1,3266.406,479.2677,nsw
0,28,10,1,0,0,1,10068.4,0,nsw
0,24,7,1,0,0,1,0,2193.528,nsw
0,32,11,1,0,0,1,0,11120.53,nsw
0,27,13,1,0,0,0,0,7609.518,nsw
0,20,12,1,0,0,0,4932.215,6086.966,nsw
0,29,13,1,0,0,0,2265.579,2725.322,nsw
0,26,10,1,0,0,1,0,2169.027,nsw
0,44,11,1,0,0,1,0,0,nsw
0,24,9,1,0,0,1,4118.681,597.42,nsw
0,28,10,0,0,1,1,6346.193,6793.077,nsw
0,24,11,1,0,0,1,1327.993,9495.902,nsw
0,25,11,1,0,0,1,0,1264.232,nsw
0,25,8,1,0,1,1,515.8274,14281.31,nsw
0,23,11,1,0,0,1,5716.407,10274.84,nsw
0,20,11,1,0,0,1,1650.461,278.8751,nsw
0,24,12,1,0,0,0,8100.533,11235.11,nsw
0,20,11,0,0,1,1,8159.507,6336.783,nsw
0,25,12,1,0,0,0,0,0,nsw
0,28,11,1,0,0,1,863.4795,0,nsw
0,28,12,1,0,1,0,0,0,nsw
0,21,12,0,0,0,0,5440.815,11544.01,nsw
0,24,11,0,0,0,1,1468.383,10361.69,nsw
0,32,10,1,0,0,1,0,0,nsw
0,21,10,1,0,1,1,1785.18,6831.106,nsw
0,21,8,1,0,0,1,6608.304,3083.581,nsw
0,25,10,1,0,1,1,11696.37,11127.28,nsw
0,22,10,0,0,1,1,23031.98,5448.801,nsw
0,22,10,1,0,0,1,0,0,nsw
0,19,9,1,0,0,1,0,5712.643,nsw
0,31,10,1,0,1,1,0,0,nsw
0,23,11,1,0,0,1,0,0,nsw
0,22,11,1,0,0,1,875.2615,9139.652,nsw
0,33,11,1,0,0,1,0,0,nsw
0,27,10,1,0,0,1,0,1184.882,nsw
0,29,11,1,0,1,1,0,10225.88,nsw
0,38,10,1,0,1,1,14701.95,4393.523,nsw
0,20,6,1,0,0,1,2850.61,0,nsw
0,23,10,1,0,0,1,0,0,nsw
0,29,11,1,0,0,1,3256.165,3290.293,nsw
0,26,9,1,0,0,1,6955.054,11856.88,nsw
0,25,9,1,0,1,1,0,4715.371,nsw
0,24,11,1,0,0,1,13370.58,19533.88,nsw
0,25,10,1,0,0,1,0,289.7899,nsw
0,23,11,0,0,0,1,19995.64,12896.22,nsw
0,25,13,1,0,0,0,3751.048,1672.776,nsw
0,20,9,1,0,0,1,9164.449,8924.395,nsw
0,25,11,1,0,0,1,3072.726,284.6584,nsw
0,29,12,0,0,0,0,12205.14,16328.96,nsw
0,25,9,1,0,1,1,16946.63,7343.964,nsw
0,23,11,1,0,0,1,580.7901,0,nsw
0,44,9,1,0,1,1,10857.24,12359.31,nsw
0,22,12,1,0,1,0,9352.199,8072.181,nsw
0,20,11,0,0,0,1,1159.131,0,nsw
